"","subjectkey","freq_Lotto","freq_OthLotA","freq_OthLotB","freq_Scratch","freq_VSbet","freq_VHorse","freq_Casino","freq_Slots","freq_Table","freq_PVei","freq_OVei","freq_FHorse","freq_Private","freq_Cruise","freq_PPaf","freq_OPaf","freq_PFor","freq_OFor","freq_Other","diverity","diverity_No_lottery"
"1723","1877",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1724","1878",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1725","1879",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1726","1880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1727","1882",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1728","1883",0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,3
"1729","1884",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1730","1885",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"1731","1886",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1732","1890",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1733","1891",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1734","1892",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2
"1735","1893",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,4,3
"1736","1894",0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,5,5
"1737","1895",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1
"1738","1896",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1739","1897",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1740","1898",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1741","1899",1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,3
"1742","1900",1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,8,7
"1743","1901",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"1744","1902",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2
