"","subjectkey","sum_freq_all_No_lottery"
"1","1",-0.628248923283324
"2","2",-0.309446156768636
"3","3",0.317110109986657
"4","4",-0.360776128153587
"5","6",-1.02014518133475
"6","7",-0.645390293811143
"7","8",-0.913877592496518
"8","9",-1.02014518133475
"9","10",-1.02014518133475
"10","11",-0.404620106946162
"11","12",-0.840784100959782
"12","13",-1.02014518133475
"13","14",1.65471282275159
"14","15",2.20067271195065
"15","16",2.81592883748102
"16","17",-0.734516512121553
"17","19",-0.840784100959782
"18","20",1.42451297260144
"19","21",-0.840784100959782
"20","22",-0.131995756845454
"21","23",2.35006074678491
"22","24",0.126717837244984
"23","25",-0.840784100959782
"24","26",-1.02014518133475
"25","27",-0.289529269202267
"26","28",-1.02014518133475
"27","29",-0.118253448901696
"28","31",-1.02014518133475
"29","32",7.17116714771912
"30","34",2.58270982228488
"31","35",2.21187765367194
"32","36",2.448663406681
"33","37",-0.172574336423631
"34","38",-0.410374407967871
"35","39",-1.02014518133475
"36","40",0.0492760039812941
"37","41",0.674709170947709
"38","42",-0.163259173695165
"39","43",-0.354124971418344
"40","44",-1.02014518133475
"41","45",-1.02014518133475
"42","46",0.00370524270975578
"43","47",-1.02014518133475
"44","48",-0.602284303849839
"45","49",-1.02014518133475
"46","50",-0.857925471487601
"47","51",-0.778637005638495
"48","52",-1.02014518133475
"49","53",0.479329819833803
"50","54",-1.02014518133475
"51","56",12.1119875615473
"52","57",-0.286965448601823
"53","59",-1.02014518133475
"54","60",0.772031944416367
"55","61",-1.02014518133475
"56","62",-1.02014518133475
"57","63",1.97798111767414
"58","64",-0.840784100959782
"59","65",-0.294215466692599
"60","66",2.02498147759924
"61","67",-0.0741329553847545
"62","68",-0.840784100959782
"63","69",0.835593520776453
"64","70",-1.02014518133475
"65","71",-1.02014518133475
"66","72",-0.913877592496518
"67","73",0.193763596914605
"68","74",-1.02014518133475
"69","75",0.183795342148833
"70","76",-1.02014518133475
"71","77",-1.02014518133475
"72","78",-1.02014518133475
"73","79",-0.110168188827302
"74","80",1.28819642553234
"75","81",-0.913877592496518
"76","82",-0.840784100959782
"77","83",-0.334041288188363
"78","84",-1.02014518133475
"79","85",0.243867774432296
"80","86",-1.02014518133475
"81","87",-0.371266341946163
"82","88",-0.334041288188363
"83","89",2.35150787285279
"84","90",0.479329819833803
"85","91",-0.781645384224804
"86","92",-1.02014518133475
"87","93",-1.02014518133475
"88","94",3.17079960756487
"89","95",-0.734516512121553
"90","96",-0.18794787785437
"91","97",-1.02014518133475
"92","98",-1.02014518133475
"93","99",-1.02014518133475
"94","100",-0.000892221402763099
"95","101",-0.232068371371312
"96","102",-0.473576547067564
"97","103",-0.661423020584817
"98","104",-1.02014518133475
"99","105",-0.857925471487601
"100","106",1.04946076953722
"101","107",-1.02014518133475
"102","108",-0.913877592496518
"103","109",-1.02014518133475
"104","110",-0.661423020584817
"105","111",-1.02014518133475
"106","112",-1.02014518133475
"107","113",-0.678564391112636
"108","114",-1.02014518133475
"109","115",-0.311356837220418
"110","116",-0.840784100959782
"111","117",-0.195369822580379
"112","118",-1.02014518133475
"113","119",-0.112616795722092
"114","120",-1.02014518133475
"115","121",-0.473576547067564
"116","122",0.0673026057856403
"117","123",-1.02014518133475
"118","124",2.54403193959566
"119","125",9.96415320838503
"120","126",-0.781645384224804
"121","128",-0.172574336423631
"122","129",-1.02014518133475
"123","130",0.443789591006395
"124","131",-0.778637005638495
"125","132",-0.302700859834887
"126","133",-0.174763891043379
"127","134",-0.695705761640456
"128","136",-1.02014518133475
"129","137",-0.583981187321127
"130","138",-1.02014518133475
"131","139",0.41015931128203
"132","140",-0.913877592496518
"133","141",-1.02014518133475
"134","142",-0.114854386317635
"135","144",-0.131995756845454
"136","145",-1.02014518133475
"137","146",-1.02014518133475
"138","147",-1.02014518133475
"139","148",-0.678861706653246
"140","149",1.52303277394124
"141","150",-0.0544071394204995
"142","151",-0.224521037739925
"143","152",4.86026533530605
"144","153",-0.375794351371623
"145","154",-1.02014518133475
"146","155",2.57959637023362
"147","156",-1.02014518133475
"148","157",-0.334041288188363
"149","158",-0.533486051793309
"150","159",-1.02014518133475
"151","160",-0.203178567930407
"152","161",-0.857925471487601
"153","163",-0.734516512121553
"154","164",0.0130825824738735
"155","165",-1.02014518133475
"156","166",0.0204502484067553
"157","167",-0.840784100959782
"158","168",0.596676996246266
"159","170",-1.02014518133475
"160","171",-1.02014518133475
"161","172",-1.02014518133475
"162","173",-1.02014518133475
"163","174",-1.02014518133475
"164","175",-0.131995756845454
"165","176",-0.857925471487601
"166","177",0.903385671631082
"167","178",-1.02014518133475
"168","179",2.23918855100497
"169","180",-1.02014518133475
"170","181",-0.840784100959782
"171","182",-0.913877592496518
"172","183",0.657433412436998
"173","184",9.79939371375201
"174","185",-1.02014518133475
"175","186",1.07603682853329
"176","187",-0.437907964306731
"177","188",2.67682014724192
"178","189",-1.02014518133475
"179","190",-1.02014518133475
"180","191",0.998904307618103
"181","192",3.08070667995814
"182","194",0.506094874392555
"183","195",3.51281477227535
"184","197",-0.734516512121553
"185","198",-0.913877592496518
"186","199",-0.857925471487601
"187","200",-1.02014518133475
"188","201",-0.198530419928312
"189","202",0.105228124990211
"190","203",2.91175295837891
"191","204",-1.02014518133475
"192","205",-1.02014518133475
"193","206",-1.02014518133475
"194","207",-0.678564391112636
"195","208",-0.131995756845454
"196","209",-1.02014518133475
"197","211",-0.499203310737671
"198","212",-0.840784100959782
"199","213",0.373994297843552
"200","214",1.09684251124412
"201","215",-0.840784100959782
"202","216",-0.473576547067564
"203","217",-1.02014518133475
"204","218",-0.840784100959782
"205","219",-1.02014518133475
"206","220",-1.02014518133475
"207","221",-0.840784100959782
"208","222",0.932343646157115
"209","223",-1.02014518133475
"210","224",-0.734516512121553
"211","225",-1.02014518133475
"212","226",-1.02014518133475
"213","227",0.0334105487277536
"214","228",0.109512418850799
"215","229",0.866510029443137
"216","230",-0.913877592496518
"217","231",-1.02014518133475
"218","232",1.82807457202619
"219","233",-0.840784100959782
"220","234",-0.131995756845454
"221","235",-1.02014518133475
"222","236",-0.39598792964261
"223","237",-1.02014518133475
"224","238",-1.02014518133475
"225","239",-1.02014518133475
"226","240",-0.913877592496518
"227","241",0.929803260042774
"228","242",6.50898625018085
"229","243",10.5554835312918
"230","245",-1.02014518133475
"231","247",-0.298352518107933
"232","248",0.744469282597121
"233","249",-0.131995756845454
"234","250",0.563827562102741
"235","251",-1.02014518133475
"236","252",-0.913877592496518
"237","253",-1.02014518133475
"238","254",-1.02014518133475
"239","256",5.44422663779402
"240","257",-1.02014518133475
"241","258",-1.02014518133475
"242","260",-1.02014518133475
"243","261",-0.131995756845454
"244","263",-0.555155431746588
"245","264",-0.734516512121553
"246","265",-1.02014518133475
"247","266",-0.840784100959782
"248","267",-0.661423020584817
"249","268",-0.678564391112636
"250","269",-1.02014518133475
"251","270",-0.661423020584817
"252","271",-1.02014518133475
"253","272",-0.913877592496518
"254","273",-0.537128829942242
"255","274",-1.02014518133475
"256","275",0.186807009669234
"257","276",-0.572296802274407
"258","277",-1.02014518133475
"259","278",-1.02014518133475
"260","279",1.39962381457519
"261","280",-1.02014518133475
"262","281",-1.02014518133475
"263","282",0.653578167430065
"264","283",1.36346420967892
"265","284",-1.02014518133475
"266","285",-1.02014518133475
"267","286",-0.734516512121553
"268","287",-1.02014518133475
"269","288",-1.02014518133475
"270","289",-1.02014518133475
"271","290",-1.02014518133475
"272","291",-0.0816397487933734
"273","292",-0.482061940209852
"274","293",-1.02014518133475
"275","294",-1.02014518133475
"276","295",0.215780007689029
"277","296",-0.781645384224804
"278","297",-1.02014518133475
"279","298",0.29886943975194
"280","299",-0.678861706653246
"281","300",-1.02014518133475
"282","301",-1.02014518133475
"283","304",-1.02014518133475
"284","306",1.30951490887504
"285","307",-1.02014518133475
"286","308",3.80886022467944
"287","309",-1.02014518133475
"288","310",-0.415713745606865
"289","311",0.0130825824738735
"290","312",-0.054112478549736
"291","314",-0.294215466692599
"292","315",-0.840784100959782
"293","316",-0.440064594002693
"294","317",1.25437827346577
"295","318",-0.734516512121553
"296","320",-0.154680207813398
"297","321",1.46960429547842
"298","322",-0.294215466692599
"299","323",-0.840784100959782
"300","324",-0.0257281680072242
"301","325",-1.02014518133475
"302","326",-0.734516512121553
"303","327",1.49745967997691
"304","328",-1.02014518133475
"305","330",-0.913877592496518
"306","331",0.184092657689443
"307","332",-1.02014518133475
"308","333",-1.02014518133475
"309","334",-1.02014518133475
"310","335",-1.02014518133475
"311","336",-0.294215466692599
"312","337",-1.02014518133475
"313","338",-1.02014518133475
"314","339",0.072054027688717
"315","340",0.75984282402786
"316","341",-1.02014518133475
"317","342",0.105375367435466
"318","343",-0.393233037440052
"319","344",-1.02014518133475
"320","345",-1.02014518133475
"321","346",-1.02014518133475
"322","347",-1.02014518133475
"323","348",0.374971309874986
"324","349",-1.02014518133475
"325","350",-0.840784100959782
"326","351",-1.02014518133475
"327","353",-1.02014518133475
"328","355",0.562470752571094
"329","356",-1.02014518133475
"330","357",-0.334041288188363
"331","358",0.686272192072758
"332","359",-0.734516512121553
"333","360",-1.02014518133475
"334","361",-0.857925471487601
"335","362",-1.02014518133475
"336","363",-1.02014518133475
"337","364",-1.02014518133475
"338","365",2.1627367372362
"339","366",-1.02014518133475
"340","367",0.183958269706551
"341","368",1.48636604131621
"342","369",-0.678564391112636
"343","370",-0.487071610804558
"344","371",-0.298629032832299
"345","372",-0.294215466692599
"346","373",-0.661423020584817
"347","374",-0.840784100959782
"348","375",-1.02014518133475
"349","376",-1.02014518133475
"350","377",-1.02014518133475
"351","379",-0.840784100959782
"352","380",0.876862731064831
"353","381",0.709441874566963
"354","382",1.33605070390366
"355","383",-1.02014518133475
"356","384",-1.02014518133475
"357","385",1.03873012911387
"358","386",-1.02014518133475
"359","387",-0.840784100959782
"360","388",-1.02014518133475
"361","389",-1.02014518133475
"362","390",-0.734516512121553
"363","391",-1.02014518133475
"364","392",-0.734516512121553
"365","393",-0.0128414967368434
"366","394",-0.734516512121553
"367","395",-0.781645384224804
"368","396",-1.02014518133475
"369","397",-1.02014518133475
"370","398",-0.131995756845454
"371","399",-0.840784100959782
"372","400",-1.02014518133475
"373","401",-1.02014518133475
"374","402",-1.02014518133475
"375","403",-0.354124971418344
"376","404",0.561049954295159
"377","405",4.34224141012173
"378","406",-0.840784100959782
"379","407",-1.02014518133475
"380","408",-1.02014518133475
"381","409",2.93139694841721
"382","410",-1.02014518133475
"383","412",-0.205089248382189
"384","413",-0.302700859834887
"385","414",-1.02014518133475
"386","415",0.929136222634196
"387","416",1.11421939931102
"388","417",-1.02014518133475
"389","418",-1.02014518133475
"390","419",-1.02014518133475
"391","421",-0.734516512121553
"392","422",-1.02014518133475
"393","423",-0.131995756845454
"394","424",-0.555155431746588
"395","425",2.09230701830287
"396","426",-1.02014518133475
"397","427",-0.661423020584817
"398","428",-0.840784100959782
"399","429",0.824349291259283
"400","430",-1.02014518133475
"401","431",-0.335726113118755
"402","432",3.06575231120344
"403","433",-1.02014518133475
"404","434",1.17826538799307
"405","435",-0.678564391112636
"406","436",-1.02014518133475
"407","437",-0.404620106946162
"408","438",-0.294215466692599
"409","439",-1.02014518133475
"410","440",-0.203178567930407
"411","441",-0.840784100959782
"412","442",-1.02014518133475
"413","443",-0.734516512121553
"414","444",-1.02014518133475
"415","445",-1.02014518133475
"416","446",-0.4930083364253
"417","447",-1.02014518133475
"418","448",6.13584989495609
"419","449",-0.0125441811962335
"420","450",-0.840784100959782
"421","452",-0.661423020584817
"422","453",1.59530075758822
"423","454",0.72562903605244
"424","455",9.14251773437257
"425","456",-0.473576547067564
"426","457",-1.02014518133475
"427","458",1.6748826009406
"428","459",1.67175742005139
"429","460",-0.473576547067564
"430","461",-1.02014518133475
"431","463",-0.59507482598183
"432","465",-0.180991290609
"433","466",-0.913877592496518
"434","467",0.837292748399444
"435","468",-1.02014518133475
"436","469",-0.499500626278281
"437","470",-0.331526615409426
"438","471",5.23197058097059
"439","472",2.602774098773
"440","473",-1.02014518133475
"441","474",-1.02014518133475
"442","475",0.209287717836048
"443","476",-0.857925471487601
"444","477",-0.510149706953119
