"","subjectkey_w1","single.factor","two.factor.f1","two.factor.f2","bifactor.f1","bifactor.f2","bifactor.g","two.factor.re.f1","two.factor.re.f2","three.factor.f1","three.factor.f2","three.factor.f3"
"1",1,-0.100654667629288,-0.0854728630509522,-0.089241168693867,-0.00178639834089436,-0.0431339739858951,-0.238225636678834,-0.0897615081057954,-0.0962988952260784,-0.0765116818555442,-0.078946392899344,-0.067227334398563
"2",2,-0.100654667629288,-0.0854728630509522,-0.089241168693867,-0.00178639834089436,-0.0431339739858951,-0.238225636678834,-0.0897615081057954,-0.0962988952260784,-0.0765116818555442,-0.078946392899344,-0.067227334398563
"3",4,-0.100654667629288,-0.0854728630509522,-0.089241168693867,-0.00178639834089436,-0.0431339739858951,-0.238225636678834,-0.0897615081057954,-0.0962988952260784,-0.0765116818555442,-0.078946392899344,-0.067227334398563
"4",7,-0.100654667629288,-0.0854728630509522,-0.089241168693867,-0.00178639834089436,-0.0431339739858951,-0.238225636678834,-0.0897615081057954,-0.0962988952260784,-0.0765116818555442,-0.078946392899344,-0.067227334398563
"5",8,-0.100654667629288,-0.0854728630509522,-0.089241168693867,-0.00178639834089436,-0.0431339739858951,-0.238225636678834,-0.0897615081057954,-0.0962988952260784,-0.0765116818555442,-0.078946392899344,-0.067227334398563
"6",9,-0.100654667629288,-0.0854728630509522,-0.089241168693867,-0.00178639834089436,-0.0431339739858951,-0.238225636678834,-0.0897615081057954,-0.0962988952260784,-0.0765116818555442,-0.078946392899344,-0.067227334398563
"7",12,-0.100654667629288,-0.0854728630509522,-0.089241168693867,-0.00178639834089436,-0.0431339739858951,-0.238225636678834,-0.0897615081057954,-0.0962988952260784,-0.0765116818555442,-0.078946392899344,-0.067227334398563
"8",14,-0.100654667629288,-0.0854728630509522,-0.089241168693867,-0.00178639834089436,-0.0431339739858951,-0.238225636678834,-0.0897615081057954,-0.0962988952260784,-0.0765116818555442,-0.078946392899344,-0.067227334398563
"9",15,-0.100654667629288,-0.0854728630509522,-0.089241168693867,-0.00178639834089436,-0.0431339739858951,-0.238225636678834,-0.0897615081057954,-0.0962988952260784,-0.0765116818555442,-0.078946392899344,-0.067227334398563
"10",17,-0.100654667629288,-0.0854728630509522,-0.089241168693867,-0.00178639834089436,-0.0431339739858951,-0.238225636678834,-0.0897615081057954,-0.0962988952260784,-0.0765116818555442,-0.078946392899344,-0.067227334398563
"11",20,-0.100654667629288,-0.0854728630509522,-0.089241168693867,-0.00178639834089436,-0.0431339739858951,-0.238225636678834,-0.0897615081057954,-0.0962988952260784,-0.0765116818555442,-0.078946392899344,-0.067227334398563
"12",23,0.856913409910213,0.796776572506067,0.834449137283189,-0.00931764212117575,0.305740448886629,0.611447558070444,0.794746863946252,0.860538101165608,0.784428461244313,0.809956011946069,0.794801065350279
"13",29,-0.100654667629288,-0.0854728630509522,-0.089241168693867,-0.00178639834089436,-0.0431339739858951,-0.238225636678834,-0.0897615081057954,-0.0962988952260784,-0.0765116818555442,-0.078946392899344,-0.067227334398563
"14",32,-0.100654667629288,-0.0854728630509522,-0.089241168693867,-0.00178639834089436,-0.0431339739858951,-0.238225636678834,-0.0897615081057954,-0.0962988952260784,-0.0765116818555442,-0.078946392899344,-0.067227334398563
