"","subjectkey_w2","single.factor","two.factor.f1","two.factor.f2","bifactor.f1","bifactor.f2","bifactor.g","two.factor.re.f1","two.factor.re.f2","three.factor.f1","three.factor.f2","three.factor.f3"
"1",2,-0.108296584258064,-0.0786110559224212,-0.084923126708688,-0.0031365028308302,-0.128831915827052,-0.327890914807156,-0.0863884103723655,-0.102485783235457,-0.0709706491440895,-0.0757134937987526,-0.0624920595663229
"2",4,-0.108296584258064,-0.0786110559224212,-0.084923126708688,-0.0031365028308302,-0.128831915827052,-0.327890914807156,-0.0863884103723655,-0.102485783235457,-0.0709706491440895,-0.0757134937987526,-0.0624920595663229
"3",5,1.52133048044707,1.25479953420598,1.40200250365097,-0.0517167766693502,0.672653727525817,1.20810004272501,1.17726598310138,1.50433615491335,1.28322991358629,1.43396092429488,1.13618529117268
"4",6,-0.108296584258064,-0.0786110559224212,-0.084923126708688,-0.0031365028308302,-0.128831915827052,-0.327890914807156,-0.0863884103723655,-0.102485783235457,-0.0709706491440895,-0.0757134937987526,-0.0624920595663229
"5",7,-0.108296584258064,-0.0786110559224212,-0.084923126708688,-0.0031365028308302,-0.128831915827052,-0.327890914807156,-0.0863884103723655,-0.102485783235457,-0.0709706491440895,-0.0757134937987526,-0.0624920595663229
"6",8,-0.108296584258064,-0.0786110559224212,-0.084923126708688,-0.0031365028308302,-0.128831915827052,-0.327890914807156,-0.0863884103723655,-0.102485783235457,-0.0709706491440895,-0.0757134937987526,-0.0624920595663229
"7",9,-0.108296584258064,-0.0786110559224212,-0.084923126708688,-0.0031365028308302,-0.128831915827052,-0.327890914807156,-0.0863884103723655,-0.102485783235457,-0.0709706491440895,-0.0757134937987526,-0.0624920595663229
"8",10,-0.108296584258064,-0.0786110559224212,-0.084923126708688,-0.0031365028308302,-0.128831915827052,-0.327890914807156,-0.0863884103723655,-0.102485783235457,-0.0709706491440895,-0.0757134937987526,-0.0624920595663229
"9",11,-0.108296584258064,-0.0786110559224212,-0.084923126708688,-0.0031365028308302,-0.128831915827052,-0.327890914807156,-0.0863884103723655,-0.102485783235457,-0.0709706491440895,-0.0757134937987526,-0.0624920595663229
"10",14,-0.108296584258064,-0.0786110559224212,-0.084923126708688,-0.0031365028308302,-0.128831915827052,-0.327890914807156,-0.0863884103723655,-0.102485783235457,-0.0709706491440895,-0.0757134937987526,-0.0624920595663229
"11",16,-0.108296584258064,-0.0786110559224212,-0.084923126708688,-0.0031365028308302,-0.128831915827052,-0.327890914807156,-0.0863884103723655,-0.102485783235457,-0.0709706491440895,-0.0757134937987526,-0.0624920595663229
"12",17,-0.108296584258064,-0.0786110559224212,-0.084923126708688,-0.0031365028308302,-0.128831915827052,-0.327890914807156,-0.0863884103723655,-0.102485783235457,-0.0709706491440895,-0.0757134937987526,-0.0624920595663229
"13",20,-0.108296584258064,-0.0786110559224212,-0.084923126708688,-0.0031365028308302,-0.128831915827052,-0.327890914807156,-0.0863884103723655,-0.102485783235457,-0.0709706491440895,-0.0757134937987526,-0.0624920595663229
"14",22,-0.108296584258064,-0.0786110559224212,-0.084923126708688,-0.0031365028308302,-0.128831915827052,-0.327890914807156,-0.0863884103723655,-0.102485783235457,-0.0709706491440895,-0.0757134937987526,-0.0624920595663229
"15",26,0.614478040869906,0.595358926589245,0.650647276582065,-0.00990929458344021,0.30851413149334,0.283082786025296,0.55536258545643,0.707913401678619,0.608553079142087,0.691282003252951,0.463968035206754
"16",28,-0.108296584258064,-0.0786110559224212,-0.084923126708688,-0.0031365028308302,-0.128831915827052,-0.327890914807156,-0.0863884103723655,-0.102485783235457,-0.0709706491440895,-0.0757134937987526,-0.0624920595663229
"17",29,-0.108296584258064,-0.0786110559224212,-0.084923126708688,-0.0031365028308302,-0.128831915827052,-0.327890914807156,-0.0863884103723655,-0.102485783235457,-0.0709706491440895,-0.0757134937987526,-0.0624920595663229
"18",32,-0.108296584258064,-0.0786110559224212,-0.084923126708688,-0.0031365028308302,-0.128831915827052,-0.327890914807156,-0.0863884103723655,-0.102485783235457,-0.0709706491440895,-0.0757134937987526,-0.0624920595663229
"19",34,-0.108296584258064,-0.0786110559224212,-0.084923126708688,-0.0031365028308302,-0.128831915827052,-0.327890914807156,-0.0863884103723655,-0.102485783235457,-0.0709706491440895,-0.0757134937987526,-0.0624920595663229
"20",35,1.9859906084924,1.64120433656477,1.90395159530198,-0.148555545656377,1.33575401590648,1.92548205572267,1.4845430122183,1.92814968854787,1.67338994360998,2.01460740309003,1.39676773466455
"21",36,-0.108296584258064,-0.0786110559224212,-0.084923126708688,-0.0031365028308302,-0.128831915827052,-0.327890914807156,-0.0863884103723655,-0.102485783235457,-0.0709706491440895,-0.0757134937987526,-0.0624920595663229
"22",37,0.836400649814422,0.733743357092637,0.804048274783697,-0.0141457962674147,0.452376670820072,0.475528285196046,0.688499221760004,0.877206203822833,0.751447553912748,0.777604626836829,0.755570327437595
