"","subjectkey","annual_expenses"
"449",586,1300
"450",587,1
"451",588,360
"452",589,50
"453",590,520
"454",591,30
"455",592,192
"456",596,350
"457",597,600
"458",598,100
"459",602,10
"460",604,300
"461",605,1456
"462",606,100
"463",607,100
"464",608,4
"465",610,1200
"466",611,520
"467",613,250
"468",614,150
"469",616,200
"470",617,10
"471",618,80
"472",619,10
"473",620,156
"474",623,15
"475",624,200
"476",625,104
"477",626,150
"478",627,400
"479",628,104
"480",629,1200
"481",630,3360
"482",634,50
"483",637,20
"484",638,30
"485",640,50
"486",641,200
"487",643,30
"488",644,50
"489",645,500
"490",648,300
"491",649,100
"492",650,2000
"493",651,360
"494",654,35
"495",655,400
"496",656,2600
"497",658,140
"498",659,3120
"499",660,1000
"500",661,520
"501",662,70
"502",663,30
"503",664,20
"504",667,520
"505",668,48
"506",669,10
"507",670,5
"508",671,50
"509",672,180
"510",673,500
"511",675,200
"512",676,20
"513",678,15
"514",679,50
"515",680,300
"516",681,5
"517",683,200
"518",684,728
"519",685,50
"520",686,2600
"521",687,20
"522",688,20
"523",689,500
"524",691,200
"525",692,480
"526",693,50
"527",694,240
"528",695,10
"529",696,480
"530",697,150
"531",698,50
"532",699,104
"533",700,20
"534",701,10
"535",702,200
"536",704,60
"537",705,208
"538",707,10
"539",708,300
"540",714,500
"541",715,832
"542",716,50
"543",718,2340
"544",720,50
"545",721,25
"546",722,240
"547",723,10
"548",725,50
"549",726,250
"550",727,120
"551",728,700
"552",729,288
"553",730,100
"554",731,600
"555",732,300
"556",733,240
"557",734,120
"558",736,5
"559",737,7
"560",738,200
"561",739,10
"562",740,72
"563",742,200
"564",743,60
"565",744,780
"566",745,10
"567",746,240
"568",747,520
"569",748,100
"570",749,600
"571",750,40
"572",751,120
"573",752,208
"574",753,40
"575",754,2500
"576",756,5
"577",758,336
"578",759,1000
"579",760,3640
"580",761,500
"581",762,50
"582",765,500
"583",767,1200
"584",769,300
"585",770,208
"586",773,5337.30568095586
"587",774,40
"588",775,5
"589",776,240
"590",777,5
"591",778,120
"592",779,15
"593",780,20
"594",781,260
"595",784,10
"596",785,50
"597",786,2184
"598",787,300
"599",788,150
"600",790,104
"601",791,1000
"602",792,60
"603",793,208
"604",794,10
"605",797,100
"606",798,100
"607",800,20
"608",801,360
"609",803,96
"610",804,5
"611",805,260
"612",807,100
"613",809,20
"614",811,40
"615",812,300
"616",814,1040
"617",815,10
"618",817,150
"619",819,10
"620",822,520
"621",824,40
"622",825,150
"623",826,200
"624",828,5
"625",830,120
"626",831,30
"627",832,208
"628",833,52
"629",836,1560
"630",837,1040
"631",839,1200
"632",840,30
"633",841,900
"634",842,20
"635",843,780
"636",844,840
"637",845,40
"638",846,240
"639",847,2100
"640",848,150
"641",850,780
"642",851,1500
"643",853,80
"644",857,15
"645",858,50
"646",859,150
"647",862,20
"648",863,15
"649",865,480
"650",866,100
"651",867,600
"652",868,30
"653",869,364
"654",870,100
"655",872,240
"656",873,20
"657",874,300
"658",875,30
"659",876,240
"660",877,832
"661",878,30
"662",879,2000
"663",880,180
"664",881,250
"665",882,200
"666",883,156
"667",884,400
"668",885,30
"669",887,240
"670",889,240
"671",892,1040
"672",893,20
"673",894,10
"674",895,84
"675",896,40
"676",897,10
"677",898,200
"678",899,360
"679",900,200
"680",901,104
"681",902,208
"682",903,100
"683",905,52
"684",906,10
"685",907,20
"686",908,104
"687",909,86
"688",910,250
"689",911,416
"690",912,60
"691",915,52
"692",916,520
"693",917,520
"694",919,30
"695",920,50
"696",921,330
"697",923,5
"698",924,416
"699",927,624
"700",928,20
"701",929,104
"702",930,1508
"703",931,600
"704",932,48
"705",933,416
"706",934,12
"707",935,1560
"708",936,1248
"709",937,500
"710",939,120
"711",940,52
"712",944,120
"713",945,15
"714",946,104
"715",947,1200
"716",948,840
"717",949,8
"718",950,100
"719",951,20
"720",952,80
"721",953,35
"722",955,30
"723",956,60
"724",957,14
"725",958,10
"726",959,100
"727",960,1560
"728",962,15
"729",963,25
"730",964,360
"731",965,520
"732",966,30
"733",968,500
"734",970,550
"735",971,100
"736",972,104
"737",973,30
"738",974,50
"739",975,156
"740",976,80
"741",977,5
"742",978,307
"743",979,50
"744",980,2
"745",981,180
"746",982,20
"747",983,250
"748",984,50
"749",985,200
"750",986,100
"751",987,156
"752",988,6
"753",989,2
"754",990,120
"755",993,20
"756",997,15
"757",999,10
"758",1001,100
"759",1002,50
"760",1003,364
"761",1005,75
"762",1006,2
"763",1008,52
"764",1009,240
"765",1010,30
"766",1012,40
"767",1016,50
"768",1017,50
"769",1019,5
"770",1020,200
"771",1021,420
"772",1023,20
"773",1025,416
"774",1026,120
"775",1027,60
"776",1028,300
"777",1029,4000
"778",1031,520
"779",1032,60
"780",1033,10
"781",1036,70
"782",1039,500
"783",1040,200
"784",1041,70
"785",1042,36
"786",1043,10
"787",1045,5
"788",1047,60
"789",1048,1560
"790",1049,100
"791",1051,30
"792",1052,40
"793",1053,240
"794",1054,300
"795",1056,10
"796",1057,20
"797",1058,48
"798",1060,1200
"799",1063,5
"800",1064,260
"801",1067,190
"802",1068,7
"803",1069,300
"804",1070,5
"805",1071,300
"806",1072,120
"807",1075,75
"808",1076,240
"809",1077,200
"810",1078,312
"811",1079,20
"812",1081,120
"813",1083,15
"814",1084,200
"815",1085,60
"816",1086,260
"817",1087,240
"818",1089,18
"819",1090,260
"820",1091,200
"821",1093,40
"822",1095,80
"823",1096,780
"824",1098,100
"825",1099,100
"826",1100,600
"827",1103,780
"828",1104,30
"829",1105,600
"830",1106,100
"831",1107,30
"832",1108,100
"833",1109,30
"834",1110,20
"835",1112,240
"836",1113,480
"837",1114,1584
"838",1115,100
"839",1116,50
"840",1117,780
"841",1119,200
"842",1120,144
"843",1122,50
"844",1124,120
"845",1126,50
"846",1127,450
"847",1128,440
"848",1129,10
"849",1130,500
"850",1131,45
"851",1133,20
"852",1134,60
"853",1135,4160
"854",1136,156
"855",1137,720
"856",1138,30
"857",1139,40
"858",1140,20
"859",1141,30
"860",1142,36
"861",1143,20
"862",1144,20
"863",1145,20
"864",1146,100
"865",1147,300
"866",1148,80
"867",1149,240
"868",1150,360
"869",1152,5
"870",1153,60
"871",1156,60
"872",1158,104
"873",1159,12
"874",1161,50
"875",1163,600
"876",1166,2
"877",1167,100
"878",1168,150
"879",1170,8
"880",1171,20
"881",1172,50
"882",1174,200
"883",1175,20
"884",1176,100
"885",1178,10
"886",1180,5
"887",1181,636
"888",1182,150
"889",1183,100
"890",1184,60
"891",1186,30
"892",1187,30
"893",1188,100
"894",1189,5000
"895",1190,780
"896",1193,50
"897",1194,25
"898",1196,10
"899",1198,780
"900",1199,520
"901",1200,80
"902",1201,8
"903",1202,50
"904",1204,416
"905",1205,300
"906",1206,1300
"907",1207,100
"908",1208,60
"909",1210,600
"910",1211,72
"911",1212,50
"912",1213,720
"913",1214,100
"914",1215,480
"915",1216,40
"916",1217,156
"917",1218,100
"918",1219,156
"919",1220,1040
"920",1222,100
"921",1224,5337.30568095586
"922",1225,50
"923",1226,150
"924",1227,40
"925",1228,52
"926",1231,40
"927",1232,50
"928",1233,208
"929",1234,20
"930",1235,2000
"931",1237,600
"932",1239,120
"933",1240,5
"934",1242,20
"935",1243,208
"936",1244,260
"937",1245,240
"938",1246,156
"939",1247,100
"940",1248,520
"941",1249,150
"942",1250,20
"943",1252,120
"944",1253,10
"945",1254,20
"946",1255,936
"947",1256,40
"948",1257,30
"949",1258,520
"950",1259,300
"951",1260,312
"952",1261,720
"953",1262,624
"954",1263,80
"955",1264,100
"956",1266,5
"957",1267,520
"958",1268,30
"959",1269,20
"960",1270,10
"961",1271,1040
"962",1272,300
"963",1273,100
"964",1274,480
"965",1276,300
"966",1277,60
"967",1279,20
"968",1280,115
"969",1281,2
"970",1282,200
"971",1283,6
"972",1284,120
"973",1285,180
"974",1288,2
"975",1289,1040
"976",1290,50
"977",1291,5
"978",1292,300
"979",1293,5000
"980",1294,240
"981",1295,300
"982",1296,60
"983",1297,120
"984",1298,416
"985",1299,40
"986",1301,50
"987",1303,208
"988",1304,40
"989",1306,500
"990",1308,60
"991",1310,312
"992",1311,15
"993",1312,312
"994",1313,2400
"995",1314,300
"996",1315,20
"997",1316,624
"998",1318,120
"999",1319,60
"1000",1322,300
"1001",1323,300
"1002",1324,10
"1003",1327,624
"1004",1328,250
"1005",1329,5337.30568095586
"1006",1330,160
"1007",1331,150
"1008",1335,10
"1009",1336,520
"1010",1337,10
"1011",1338,50
"1012",1339,500
"1013",1341,60
"1014",1342,150
"1015",1344,260
"1016",1347,300
"1017",1352,180
"1018",1353,5
"1019",1354,5
"1020",1357,60
"1021",1358,30
"1022",1359,20
"1023",1360,264
"1024",1363,416
"1025",1367,40
"1026",1368,10
"1027",1369,70
"1028",1370,2
"1029",1372,192
"1030",1375,1040
"1031",1377,72
"1032",1379,832
"1033",1382,100
"1034",1383,100
"1035",1385,104
"1036",1386,1000
"1037",1387,48
"1038",1388,100
"1039",1389,360
"1040",1390,1
"1041",1391,100
"1042",1392,1040
"1043",1393,10
"1044",1394,200
"1045",1395,480
"1046",1396,5
"1047",1397,24
"1048",1398,312
"1049",1400,300
"1050",1401,900
"1051",1403,48
"1052",1404,500
"1053",1405,10
"1054",1406,50
"1055",1407,100
"1056",1409,15
"1057",1410,520
"1058",1411,10
"1059",1412,120
"1060",1413,10
"1061",1415,10
"1062",1417,150
"1063",1419,24
"1064",1420,50
"1065",1421,620
"1066",1422,300
"1067",1423,120
"1068",1426,45
"1069",1427,20
"1070",1429,20
"1071",1430,1300
"1072",1433,4
"1073",1434,200
"1074",1435,50
"1075",1436,4
"1076",1437,240
"1077",1438,1040
"1078",1439,400
"1079",1440,400
"1080",1441,22
"1081",1442,4
"1082",1443,5000
"1083",1444,120
"1084",1445,728
"1085",1446,104
"1086",1447,480
"1087",1448,780
"1088",1449,240
"1089",1451,360
"1090",1452,48
"1091",1453,416
"1092",1454,16
"1093",1455,1200
"1094",1456,104
"1095",1457,30
"1096",1458,5
"1097",1459,360
"1098",1460,200
"1099",1462,50
"1100",1464,100
"1101",1465,50
"1102",1469,800
"1103",1470,1000
"1104",1471,108
"1105",1472,70
"1106",1474,208
"1107",1475,100
"1108",1476,700
"1109",1478,100
"1110",1479,100
"1111",1480,960
"1112",1481,10
"1113",1482,240
"1114",1483,24
"1115",1484,600
"1116",1485,2080
"1117",1486,50
"1118",1487,120
"1119",1488,100
"1120",1489,430
"1121",1492,30
"1122",1495,10
"1123",1496,5337.30568095586
"1124",1497,70
"1125",1498,10
"1126",1499,1200
"1127",1500,520
"1128",1501,20
"1129",1503,30
"1130",1504,416
"1131",1506,50
"1132",1507,50
"1133",1508,240
"1134",1509,250
"1135",1510,1200
"1136",1514,150
"1137",1515,200
"1138",1516,520
"1139",1517,250
"1140",1518,30
"1141",1521,500
"1142",1522,1040
"1143",1523,250
"1144",1524,120
"1145",1525,2
"1146",1527,600
"1147",1528,208
"1148",1531,180
"1149",1532,200
"1150",1534,500
"1151",1535,5
"1152",1536,2
"1153",1538,384
"1154",1539,50
"1155",1540,52
"1156",1541,50
"1157",1542,100
"1158",1543,10
"1159",1546,30
"1160",1547,180
"1161",1548,120
"1162",1549,416
"1163",1550,1248
"1164",1551,10
"1165",1552,500
"1166",1554,208
"1167",1555,156
"1168",1556,50
"1169",1557,5
"1170",1558,5
"1171",1559,35
"1172",1560,144
"1173",1562,100
"1174",1563,30
"1175",1564,200
"1176",1565,10
"1177",1570,156
"1178",1572,3000
"1179",1573,10
"1180",1574,20
"1181",1575,480
"1182",1576,416
"1183",1577,156
"1184",1578,120
"1185",1579,350
"1186",1581,110
"1187",1583,40
"1188",1584,90
"1189",1586,80
"1190",1588,2
"1191",1589,600
"1192",1590,40
"1193",1591,312
"1194",1592,100
"1195",1593,130
"1196",1594,400
"1197",1597,800
"1198",1599,20
"1199",1600,5
"1200",1601,780
"1201",1602,5337.30568095586
"1202",1607,5
"1203",1608,150
"1204",1609,260
"1205",1610,240
"1206",1611,250
"1207",1613,200
"1208",1614,208
"1209",1616,1040
"1210",1617,156
"1211",1618,624
"1212",1619,100
"1213",1620,416
"1214",1621,100
"1215",1623,30
"1216",1624,1560
"1217",1625,20
"1218",1626,100
"1219",1629,8
"1220",1630,600
"1221",1631,70
"1222",1632,240
"1223",1634,80
"1224",1635,1300
"1225",1636,360
"1226",1637,50
"1227",1638,24
"1228",1639,2000
"1229",1640,1040
"1230",1641,120
"1231",1642,60
"1232",1643,30
"1233",1644,180
"1234",1645,130
"1235",1646,144
"1236",1648,120
"1237",1650,25
"1238",1651,48
"1239",1652,240
"1240",1653,240
"1241",1655,300
"1242",1656,156
"1243",1657,500
"1244",1658,780
"1245",1659,10
"1246",1660,720
"1247",1661,208
"1248",1662,1040
"1249",1663,10
"1250",1664,260
"1251",1665,480
"1252",1666,100
"1253",1667,10
"1254",1668,50
"1255",1670,500
"1256",1671,5
"1257",1674,10
"1258",1675,208
"1259",1676,240
"1260",1677,50
"1261",1678,1040
"1262",1679,120
"1263",1681,50
"1264",1682,12
"1265",1683,200
"1266",1684,240
"1267",1685,24
"1268",1686,400
"1269",1688,416
"1270",1689,100
"1271",1691,70
"1272",1693,40
"1273",1694,500
"1274",1695,30
"1275",1696,10
"1276",1697,100
"1277",1698,884
"1278",1699,2600
"1279",1700,1040
"1280",1701,240
"1281",1702,250
"1282",1703,180
"1283",1704,20
"1284",1705,720
"1285",1707,30
"1286",1708,100
"1287",1709,25
"1288",1710,40
"1289",1711,20
"1290",1712,100
"1291",1714,572
"1292",1715,400
"1293",1718,364
"1294",1719,416
"1295",1720,6
"1296",1721,260
"1297",1722,960
"1298",1723,312
"1299",1724,100
"1300",1725,520
"1301",1728,50
"1302",1729,572
"1303",1733,1500
"1304",1734,2400
"1305",1735,360
"1306",1736,200
"1307",1737,600
"1308",1738,1000
"1309",1739,624
"1310",1740,312
"1311",1741,10
"1312",1742,156
"1313",1743,50
"1314",1744,2080
"1315",1745,600
"1316",1749,20
"1317",1751,416
"1318",1752,40
"1319",1753,200
"1320",1754,260
"1321",1757,50
"1322",1758,5337.30568095586
"1323",1759,10
"1324",1760,240
"1325",1761,500
"1326",1763,260
"1327",1764,40
"1328",1766,50
"1329",1768,15
"1330",1769,2080
"1331",1770,500
"1332",1772,50
"1333",1775,50
"1334",1776,120
"1335",1777,10
"1336",1778,10
"1337",1779,120
"1338",1780,10
