"","subjectkey","annual_expenses"
"1721",2315,4
"1722",2319,4
"1723",2320,200
"1724",2321,5
"1725",2322,10
"1726",2323,100
"1727",2324,10
"1728",2326,520
"1729",2329,2600
"1730",2330,10
"1731",2331,15
"1732",2332,20
"1733",2333,50
"1734",2338,25
"1735",2339,25
"1736",2340,2500
"1737",2341,40
"1738",2343,5337.30568095586
"1739",2344,150
"1740",2346,4
"1741",2347,60
"1742",2348,208
"1743",2350,240
"1744",2352,5
"1745",2353,50
"1746",2354,5
"1747",2355,5
"1748",2356,6
"1749",2358,1200
"1750",2359,10
"1751",2360,5
"1752",2362,200
"1753",2363,20
"1754",2365,10
"1755",2366,156
"1756",2367,20
"1757",2369,100
"1758",2370,130
"1759",2372,2600
"1760",2373,2400
"1761",2375,1300
"1762",2376,5
"1763",2377,600
"1764",2378,100
"1765",2379,20
"1766",2380,780
"1767",2381,12
"1768",2382,5
"1769",2384,208
"1770",2385,150
"1771",2386,360
"1772",2387,10
"1773",2389,200
"1774",2391,622
"1775",2392,150
"1776",2393,240
"1777",2394,400
"1778",2395,10
"1779",2396,100
"1780",2397,6
"1781",2399,3
"1782",2401,10
"1783",2403,84
"1784",2405,104
"1785",2406,520
"1786",2407,40
"1787",2408,10
"1788",2409,30
"1789",2410,10
"1790",2412,40
"1791",2414,250
"1792",2415,50
"1793",2416,5337.30568095586
"1794",2417,80
"1795",2418,40
"1796",2419,600
"1797",2420,156
"1798",2421,208
"1799",2422,1040
"1800",2423,480
"1801",2424,10
"1802",2426,10
"1803",2427,132
"1804",2429,520
"1805",2430,300
"1806",2431,20
"1807",2432,15
"1808",2433,728
"1809",2435,10
"1810",2437,520
"1811",2438,600
"1812",2439,208
"1813",2440,150
"1814",2441,15
"1815",2442,60
"1816",2444,1040
"1817",2445,50
"1818",2446,50
"1819",2447,40
"1820",2448,100
"1821",2449,240
"1822",2450,120
"1823",2451,2400
"1824",2452,1040
"1825",2453,30
"1826",2454,200
"1827",2455,300
"1828",2457,40
"1829",2458,50
"1830",2459,50
"1831",2460,20
"1832",2464,260
"1833",2466,500
"1834",2467,780
"1835",2468,20
"1836",2469,10
"1837",2470,700
"1838",2473,200
"1839",2474,20
"1840",2476,156
"1841",2478,1560
"1842",2479,20
"1843",2480,20
"1844",2483,480
"1845",2486,3
"1846",2487,40
"1847",2489,120
"1848",2490,1040
"1849",2491,10
"1850",2492,20
"1851",2494,480
"1852",2495,15
"1853",2496,4
"1854",2497,520
"1855",2498,5
"1856",2499,500
"1857",2500,30
"1858",2501,520
"1859",2502,100
"1860",2503,40
"1861",2504,150
"1862",2505,15
"1863",2506,100
"1864",2507,15
"1865",2508,30
"1866",2511,20
"1867",2512,30
"1868",2513,260
"1869",2514,80
"1870",2515,10
"1871",2518,200
"1872",2521,180
"1873",2524,25
"1874",2525,50
"1875",2526,70
"1876",2527,20
"1877",2528,104
"1878",2529,50
"1879",2530,12
"1880",2532,15
"1881",2533,200
"1882",2534,10
"1883",2535,80
"1884",2536,500
"1885",2540,1404
"1886",2541,156
"1887",2542,20
"1888",2543,3000
"1889",2546,1500
"1890",2547,10
"1891",2549,520
"1892",2550,520
"1893",2551,10
"1894",2553,20
"1895",2554,50
"1896",2555,60
"1897",2557,1200
"1898",2558,320
"1899",2559,30
"1900",2560,40
"1901",2561,20
"1902",2562,120
"1903",2563,25
"1904",2564,20
"1905",2565,50
"1906",2566,15
"1907",2567,780
"1908",2568,10
"1909",2569,10
"1910",2570,520
"1911",2572,1000
"1912",2573,15
"1913",2575,20
"1914",2576,20
"1915",2577,5
"1916",2579,50
"1917",2580,40
"1918",2581,60
"1919",2583,300
"1920",2584,20
"1921",2585,312
"1922",2586,2400
"1923",2587,480
"1924",2588,2080
"1925",2589,150
"1926",2590,100
"1927",2592,350
"1928",2593,100
"1929",2594,360
"1930",2595,360
"1931",2596,40
"1932",2598,35
"1933",2600,20
"1934",2601,156
"1935",2603,10
"1936",2606,25
"1937",2608,1200
"1938",2609,120
"1939",2610,468
"1940",2611,50
"1941",2613,100
"1942",2615,20
"1943",2617,192
"1944",2618,120
"1945",2619,80
"1946",2620,700
"1947",2622,10
"1948",2624,156
"1949",2625,150
"1950",2626,2600
"1951",2627,50
"1952",2628,1560
"1953",2629,520
"1954",2632,3000
"1955",2634,10
"1956",2635,100
"1957",2636,1560
"1958",2637,15
"1959",2638,15
"1960",2639,30
"1961",2641,240
"1962",2642,780
"1963",2645,60
"1964",2646,1040
"1965",2647,25
"1966",2648,10
"1967",2649,60
"1968",2650,5
"1969",2651,50
"1970",2652,30
"1971",2653,520
"1972",2654,104
"1973",2655,30
"1974",2657,60
"1975",2658,360
"1976",2659,10
"1977",2660,50
"1978",2661,180
"1979",2662,10
"1980",2663,240
"1981",2664,364
"1982",2665,420
"1983",2667,20
"1984",2668,120
"1985",2670,40
"1986",2671,20
"1987",2672,15
"1988",2673,360
"1989",2674,30
"1990",2675,3
"1991",2676,10
"1992",2677,250
"1993",2678,3
"1994",2679,10
"1995",2680,780
"1996",2681,2
"1997",2682,100
"1998",2683,100
"1999",2684,300
"2000",2685,1000
"2001",2686,20
"2002",2688,20
"2003",2689,416
"2004",2690,96
"2005",2693,60
"2006",2694,48
"2007",2695,208
"2008",2696,24
"2009",2698,1040
"2010",2702,200
"2011",2703,100
"2012",2704,20
"2013",2705,50
"2014",2706,1560
"2015",2707,35
"2016",2708,10
"2017",2709,25
"2018",2710,120
"2019",2712,96
"2020",2713,20
"2021",2714,10
"2022",2718,150
"2023",2719,60
"2024",2720,100
"2025",2721,10
"2026",2723,30
"2027",2724,312
"2028",2725,220
"2029",2726,104
"2030",2727,40
"2031",2732,99
"2032",2735,624
"2033",2737,200
"2034",2738,3
"2035",2740,50
"2036",2741,100
"2037",2742,100
"2038",2744,1800
"2039",2746,520
"2040",2747,1248
"2041",2748,24
"2042",2749,10
"2043",2751,10
"2044",2754,10
"2045",2755,25
"2046",2757,144
"2047",2759,10
"2048",2760,50
"2049",2761,2400
"2050",2763,5337.30568095586
"2051",2764,208
"2052",2765,10
"2053",2766,96
"2054",2767,40
"2055",2768,1
"2056",2770,100
"2057",2772,120
"2058",2773,208
"2059",2774,250
"2060",2775,10
"2061",2776,72
"2062",2777,468
"2063",2778,156
"2064",2779,80
"2065",2780,288
"2066",2781,1200
"2067",2782,50
"2068",2784,150
"2069",2785,1
"2070",2786,24
"2071",2787,208
"2072",2790,260
"2073",2792,180
"2074",2793,192
"2075",2794,102
"2076",2795,600
"2077",2796,50
"2078",2797,260
"2079",2801,100
"2080",2802,5337.30568095586
"2081",2803,156
"2082",2804,10
"2083",2805,10
"2084",2806,936
"2085",2809,40
"2086",2810,520
"2087",2811,540
"2088",2812,3640
"2089",2813,1200
"2090",2814,60
"2091",2816,25
"2092",2817,1040
"2093",2818,96
"2094",2819,4160
"2095",2821,200
"2096",2822,750
"2097",2823,350
"2098",2824,312
"2099",2827,500
"2100",2829,120
"2101",2830,40
"2102",2831,240
"2103",2834,3
"2104",2835,1500
"2105",2838,600
"2106",2839,80
"2107",2840,400
"2108",2841,2
"2109",2842,65
"2110",2844,30
"2111",2845,10
"2112",2846,416
"2113",2847,5337.30568095586
"2114",2848,20
"2115",2849,10
"2116",2851,104
"2117",2852,5
"2118",2853,1040
"2119",2854,30
"2120",2855,5
"2121",2856,20
"2122",2857,20
"2123",2858,50
"2124",2859,120
"2125",2861,5
"2126",2862,208
"2127",2863,240
"2128",2864,96
"2129",2865,500
"2130",2867,416
"2131",2868,50
"2132",2869,5
"2133",2871,780
"2134",2873,300
"2135",2874,72
"2136",2875,180
"2137",2876,260
"2138",2877,20
"2139",2880,2600
"2140",2881,30
"2141",2882,300
"2142",2883,360
"2143",2884,520
"2144",2885,10
"2145",2886,50
"2146",2887,200
"2147",2888,150
"2148",2889,104
"2149",2890,100
"2150",2892,552
"2151",2893,30
"2152",2897,156
"2153",2898,15
"2154",2900,360
"2155",2902,100
"2156",2903,30
"2157",2904,30
"2158",2905,500
"2159",2907,60
"2160",2909,156
"2161",2910,15
"2162",2911,3
"2163",2913,520
"2164",2914,100
"2165",2915,10
"2166",2916,50
"2167",2917,25
"2168",2918,100
"2169",2919,20
"2170",2922,120
"2171",2925,15
"2172",2926,216
"2173",2927,40
"2174",2928,150
"2175",2929,30
"2176",2931,60
"2177",2933,800
"2178",2935,120
"2179",2936,750
"2180",2939,5
"2181",2940,120
"2182",2943,100
"2183",2944,200
"2184",2945,416
"2185",2946,50
"2186",2948,80
"2187",2949,30
"2188",2950,1040
"2189",2952,200
"2190",2954,52
"2191",2955,1040
"2192",2956,200
"2193",2957,30
"2194",2958,480
"2195",2959,48
"2196",2961,25
"2197",2964,150
"2198",2965,20
"2199",2967,780
"2200",2968,60
"2201",2969,5
"2202",2972,80
"2203",2973,50
"2204",2974,156
"2205",2975,250
"2206",2976,360
"2207",2977,4
"2208",2980,15
"2209",2981,520
"2210",2982,150
"2211",2983,150
"2212",2984,170
"2213",2986,10
"2214",2988,30
"2215",2990,260
"2216",2992,25
"2217",2993,1000
"2218",2997,15
"2219",2999,5
"2220",3000,75
"2221",3001,200
"2222",3003,250
"2223",3004,240
"2224",3005,70
"2225",3006,50
"2226",3007,104
"2227",3008,12
"2228",3009,100
"2229",3011,480
"2230",3014,720
"2231",3015,1040
"2232",3016,2
"2233",3017,2
"2234",3018,360
"2235",3019,3
"2236",3020,300
"2237",3021,25
"2238",3022,96
"2239",3024,5
"2240",3025,720
"2241",3027,10
"2242",3028,5
"2243",3029,100
"2244",3030,360
"2245",3031,10
"2246",3032,60
"2247",3033,96
"2248",3034,100
"2249",3035,100
"2250",3036,360
"2251",3037,200
"2252",3038,10
"2253",3039,15
"2254",3041,600
"2255",3042,100
"2256",3043,720
"2257",3044,60
"2258",3045,20
"2259",3046,50
"2260",3047,500
"2261",3048,10
"2262",3049,4
"2263",3052,20
"2264",3054,6
"2265",3055,80
"2266",3056,780
"2267",3057,240
"2268",3058,1040
"2269",3059,780
"2270",3060,10
"2271",3061,50
"2272",3062,200
"2273",3063,20
"2274",3064,312
"2275",3065,2
"2276",3067,3
"2277",3068,2600
"2278",3069,2000
"2279",3070,400
"2280",3071,50
"2281",3073,520
"2282",3074,60
"2283",3076,5200
"2284",3077,80
"2285",3079,50
"2286",3080,1040
"2287",3081,780
"2288",3082,600
"2289",3083,100
"2290",3084,500
"2291",3085,100
"2292",3086,150
"2293",3088,50
"2294",3089,50
"2295",3090,240
"2296",3091,5
"2297",3092,50
"2298",3093,100
"2299",3094,20
"2300",3095,60
"2301",3097,250
"2302",3098,100
"2303",3099,100
"2304",3100,520
"2305",3102,312
"2306",3104,2000
"2307",3105,1380
"2308",3107,360
"2309",3108,10
"2310",3109,52
"2311",3112,312
"2312",3113,20
"2313",3114,156
"2314",3115,5000
"2315",3116,20
"2316",3117,50
"2317",3118,200
"2318",3119,48
"2319",3121,5000
"2320",3122,5200
"2321",3123,1040
"2322",3124,100
"2323",3125,120
"2324",3126,20
"2325",3127,400
"2326",3129,100
"2327",3131,624
"2328",3132,25
"2329",3133,250
"2330",3134,50
"2331",3136,24
"2332",3137,5337.30568095586
"2333",3138,24
"2334",3139,50
"2335",3140,1664
"2336",3141,312
"2337",3142,5
"2338",3143,500
"2339",3145,83
"2340",3146,2
"2341",3147,50
"2342",3148,780
"2343",3149,520
"2344",3150,480
"2345",3153,240
"2346",3155,400
"2347",3156,50
"2348",3157,5200
"2349",3158,200
"2350",3159,1560
"2351",3161,2600
"2352",3163,252
"2353",3165,5
"2354",3166,260
"2355",3167,10
"2356",3168,1040
"2357",3169,45
"2358",3170,30
"2359",3172,58
"2360",3173,150
"2361",3174,240
"2362",3175,416
"2363",3177,120
"2364",3178,20
"2365",3179,70
"2366",3180,50
"2367",3181,100
"2368",3183,50
"2369",3184,15
"2370",3185,52
"2371",3186,100
"2372",3187,50
"2373",3188,1800
"2374",3189,100
"2375",3190,1040
"2376",3191,15
"2377",3193,10
"2378",3195,60
"2379",3196,20
"2380",3198,100
"2381",3199,780
"2382",3200,50
"2383",3202,208
"2384",3203,40
"2385",3204,624
"2386",3205,50
"2387",3207,780
"2388",3209,10
"2389",3210,120
"2390",3211,156
"2391",3212,20
"2392",3214,10
"2393",3215,260
"2394",3216,5
"2395",3217,50
"2396",3218,330
"2397",3219,240
"2398",3220,720
"2399",3221,1040
"2400",3222,60
"2401",3223,20
"2402",3224,360
"2403",3226,520
"2404",3227,260
"2405",3231,200
"2406",3232,2080
"2407",3234,1248
"2408",3235,520
"2409",3236,104
"2410",3237,520
"2411",3238,1000
"2412",3239,60
"2413",3241,120
"2414",3242,1200
"2415",3243,30
"2416",3244,1040
"2417",3245,180
"2418",3246,10
"2419",3247,1500
"2420",3248,10
"2421",3249,170
"2422",3250,200
"2423",3252,600
"2424",3253,260
"2425",3254,400
"2426",3255,240
"2427",3256,20
"2428",3257,140
"2429",3258,520
"2430",3259,5
"2431",3260,104
"2432",3261,10
"2433",3262,10
"2434",3263,100
"2435",3264,240
"2436",3266,40
"2437",3268,100
"2438",3269,200
"2439",3272,100
"2440",3274,1040
"2441",3275,100
"2442",3276,260
"2443",3277,250
"2444",3278,45
"2445",3279,48
"2446",3281,572
"2447",3284,50
"2448",3286,150
"2449",3287,520
"2450",3288,60
"2451",3289,50
"2452",3290,884
"2453",3291,100
"2454",3292,100
"2455",3293,20
"2456",3294,25
"2457",3297,240
"2458",3298,45
"2459",3299,950
"2460",3301,300
"2461",3302,840
"2462",3304,150
"2463",3305,156
"2464",3308,240
"2465",3309,3
"2466",3310,2400
"2467",3311,480
"2468",3312,156
"2469",3314,300
"2470",3315,100
"2471",3316,600
"2472",3317,120
"2473",3318,60
"2474",3319,900
"2475",3320,300
"2476",3321,104
"2477",3322,208
"2478",3323,60
"2479",3325,260
"2480",3326,70
"2481",3329,5
"2482",3330,1040
"2483",3331,400
"2484",3332,1440
"2485",3333,4800
"2486",3334,520
"2487",3335,312
"2488",3336,48
"2489",3337,100
"2490",3338,200
"2491",3339,100
"2492",3341,20
"2493",3343,520
"2494",3344,100
"2495",3345,120
"2496",3346,100
"2497",3347,125
"2498",3348,50
"2499",3349,20
"2500",3350,100
"2501",3351,260
"2502",3352,200
"2503",3354,300
"2504",3358,600
"2505",3360,20
"2506",3361,1800
"2507",3362,30
"2508",3363,100
"2509",3364,100
"2510",3365,100
"2511",3366,5
"2512",3368,100
"2513",3370,520
"2514",3372,156
"2515",3373,156
"2516",3374,150
"2517",3375,10
"2518",3376,15
"2519",3377,20
"2520",3378,360
"2521",3379,20
"2522",3380,12
"2523",3381,60
"2524",3382,144
"2525",3383,10
"2526",3384,80
"2527",3385,600
"2528",3386,10
"2529",3387,720
"2530",3388,1200
"2531",3389,260
"2532",3390,5
"2533",3391,1000
"2534",3392,90
"2535",3394,1200
"2536",3395,500
"2537",3396,2600
"2538",3397,1040
"2539",3398,20
"2540",3399,600
"2541",3400,208
"2542",3401,500
"2543",3403,3600
"2544",3404,416
"2545",3405,50
"2546",3406,960
"2547",3407,5
"2548",3410,60
"2549",3411,40
"2550",3412,20
"2551",3413,200
"2552",3414,200
"2553",3419,1800
"2554",3420,350
"2555",3423,12
"2556",3425,50
"2557",3426,20
"2558",3427,36
"2559",3428,600
"2560",3429,20
"2561",3430,150
"2562",3432,20
"2563",3433,520
"2564",3434,120
"2565",3437,84
"2566",3438,6
"2567",3439,520
"2568",3440,240
"2569",3441,480
"2570",3443,520
"2571",3445,120
"2572",3447,40
"2573",3449,260
"2574",3451,1000
"2575",3452,364
"2576",3453,300
"2577",3454,52
"2578",3455,2
"2579",3456,20
"2580",3458,250
"2581",3459,40
"2582",3460,800
"2583",3462,500
"2584",3465,360
"2585",3466,40
"2586",3467,25
"2587",3472,200
"2588",3476,500
"2589",3477,780
"2590",3478,500
"2591",3479,60
"2592",3481,75
"2593",3482,104
"2594",3484,40
"2595",3486,800
"2596",3487,450
"2597",3489,150
"2598",3490,90
"2599",3491,10
"2600",3492,10
"2601",3493,200
"2602",3494,20
"2603",3495,60
"2604",3496,150
"2605",3497,10
"2606",3498,100
"2607",3499,676
"2608",3500,100
"2609",3501,960
"2610",3502,20
"2611",3503,468
"2612",3504,40
"2613",3505,53
"2614",3506,2340
"2615",3507,360
"2616",3509,15
"2617",3510,120
"2618",3511,520
"2619",3512,8
"2620",3513,5
"2621",3514,50
"2622",3516,10
"2623",3517,70
"2624",3518,30
"2625",3519,780
"2626",3520,3
"2627",3521,50
"2628",3522,520
"2629",3523,960
"2630",3524,640
"2631",3526,600
"2632",3527,8
"2633",3528,5
"2634",3530,50
"2635",3531,240
"2636",3532,156
"2637",3533,360
"2638",3534,780
"2639",3535,300
"2640",3536,520
"2641",3538,3380
"2642",3539,150
"2643",3540,100
"2644",3541,520
"2645",3542,150
"2646",3544,5337.30568095586
"2647",3546,5337.30568095586
"2648",3547,180
"2649",3548,100
"2650",3549,30
"2651",3550,720
"2652",3552,50
"2653",3554,50
"2654",3555,240
"2655",3556,70
"2656",3558,14
"2657",3559,300
"2658",3560,40
"2659",3561,150
"2660",3563,40
"2661",3564,1200
"2662",3566,50
"2663",3567,520
"2664",3568,30
"2665",3569,200
"2666",3570,70
"2667",3572,30
"2668",3573,624
"2669",3574,50
"2670",3577,1000
"2671",3578,300
"2672",3579,600
"2673",3580,70
"2674",3581,100
"2675",3582,240
"2676",3583,400
"2677",3584,520
"2678",3585,200
"2679",3586,30
"2680",3588,480
"2681",3592,1300
"2682",3593,50
"2683",3594,10
"2684",3596,1000
"2685",3600,120
"2686",3601,30
"2687",3602,10
"2688",3603,5
"2689",3604,180
"2690",3605,240
"2691",3606,50
"2692",3608,624
"2693",3609,92
"2694",3610,50
"2695",3611,10
"2696",3612,30
"2697",3613,20
"2698",3614,60
"2699",3616,50
"2700",3619,80
"2701",3620,140
"2702",3621,80
"2703",3622,5
"2704",3623,300
"2705",3625,40
"2706",3626,100
"2707",3628,240
"2708",3629,240
"2709",3630,30
"2710",3631,20
"2711",3632,728
"2712",3633,360
"2713",3634,100
"2714",3635,572
"2715",3636,1200
"2716",3638,5337.30568095586
"2717",3640,100
"2718",3642,20
"2719",3643,10
"2720",3645,50
"2721",3646,60
"2722",3647,208
"2723",3650,20
"2724",3651,240
"2725",3653,20
"2726",3654,420
"2727",3656,240
"2728",3658,50
"2729",3659,260
"2730",3660,100
"2731",3661,100
"2732",3663,6
"2733",3664,10
"2734",3665,520
"2735",3666,36
"2736",3668,5
"2737",3669,30
"2738",3670,1040
"2739",3671,1200
"2740",3672,70
"2741",3673,15
"2742",3674,60
"2743",3676,50
"2744",3677,10
"2745",3678,30
"2746",3679,200
"2747",3680,240
"2748",3681,10
"2749",3682,48
"2750",3683,120
"2751",3685,400
"2752",3686,400
"2753",3687,2600
"2754",3688,75
"2755",3690,20
"2756",3691,150
"2757",3693,48
"2758",3694,240
"2759",3695,1200
"2760",3697,260
"2761",3698,200
"2762",3699,200
"2763",3700,150
"2764",3702,300
"2765",3703,10
"2766",3704,400
"2767",3705,624
"2768",3706,624
"2769",3707,100
"2770",3708,100
"2771",3709,60
"2772",3710,1000
"2773",3712,360
"2774",3714,360
"2775",3715,60
"2776",3716,10
"2777",3717,2080
"2778",3718,38
"2779",3719,480
"2780",3722,30
"2781",3724,48
"2782",3725,40
"2783",3726,600
"2784",3728,20
"2785",3729,120
"2786",3731,240
"2787",3732,60
"2788",3733,10
"2789",3734,20
"2790",3736,7
"2791",3739,1040
"2792",3740,150
"2793",3741,200
"2794",3742,624
"2795",3743,5
"2796",3744,1000
"2797",3745,500
"2798",3747,50
"2799",3748,10
"2800",3749,50
"2801",3750,600
"2802",3751,2600
"2803",3753,360
"2804",3754,144
"2805",3756,50
"2806",3757,1040
"2807",3758,120
"2808",3759,240
"2809",3760,780
"2810",3761,50
"2811",3762,52
"2812",3763,5
"2813",3765,400
"2814",3766,150
"2815",3768,1040
"2816",3769,150
"2817",3770,25
"2818",3771,5
"2819",3772,150
"2820",3773,50
"2821",3774,50
"2822",3775,100
"2823",3776,156
"2824",3777,2600
"2825",3778,50
"2826",3779,140
"2827",3780,1200
"2828",3781,20
"2829",3782,1560
"2830",3783,400
"2831",3785,5
"2832",3786,52
"2833",3789,5
"2834",3790,156
"2835",3791,624
"2836",3793,2496
"2837",3794,480
"2838",3795,300
"2839",3797,48
"2840",3798,200
"2841",3801,60
"2842",3802,200
"2843",3803,50
"2844",3804,750
"2845",3805,150
"2846",3806,240
"2847",3807,260
"2848",3808,24
"2849",3809,300
"2850",3810,52
"2851",3815,600
"2852",3816,500
"2853",3817,160
"2854",3818,624
"2855",3820,120
"2856",3821,4
"2857",3822,35
"2858",3823,50
"2859",3824,120
"2860",3825,500
"2861",3826,60
"2862",3827,35
"2863",3829,520
"2864",3830,55
"2865",3831,96
"2866",3833,300
"2867",3834,4160
"2868",3835,2600
"2869",3836,500
"2870",3837,50
"2871",3838,30
"2872",3839,600
"2873",3842,3600
"2874",3843,130
"2875",3845,30
"2876",3846,100
"2877",3849,30
"2878",3851,10
"2879",3852,72
"2880",3854,3
"2881",3855,5
"2882",3856,260
"2883",3858,260
"2884",3859,5
"2885",3860,1300
"2886",3862,104
"2887",3863,400
"2888",3864,250
"2889",3865,1200
"2890",3866,6
"2891",3867,520
"2892",3869,520
"2893",3870,260
"2894",3872,3
"2895",3873,1200
"2896",3875,100
"2897",3876,120
"2898",3877,1200
"2899",3879,200
"2900",3880,240
"2901",3881,15
"2902",3882,364
"2903",3883,240
"2904",3884,600
"2905",3885,35
"2906",3886,250
"2907",3888,250
"2908",3889,1000
"2909",3891,1560
"2910",3893,260
"2911",3895,40
"2912",3896,624
"2913",3898,30
"2914",3900,520
"2915",3901,1040
"2916",3902,240
"2917",3904,420
"2918",3905,100
"2919",3906,20
"2920",3907,300
"2921",3908,50
"2922",3909,10
"2923",3910,100
"2924",3911,120
"2925",3912,10
"2926",3914,84
"2927",3915,104
"2928",3916,300
"2929",3917,100
"2930",3918,10
"2931",3919,52
"2932",3921,180
"2933",3922,300
"2934",3923,60
"2935",3924,1
"2936",3925,360
"2937",3926,312
"2938",3927,100
"2939",3928,10
"2940",3929,100
"2941",3931,520
"2942",3932,180
"2943",3933,5337.30568095586
"2944",3934,365
"2945",3935,480
"2946",3936,5
"2947",3937,50
"2948",3939,180
"2949",3940,320
"2950",3941,60
"2951",3942,600
"2952",3943,50
"2953",3945,520
"2954",3946,520
"2955",3947,156
"2956",3948,728
"2957",3949,15
"2958",3950,500
"2959",3951,100
"2960",3952,520
"2961",3953,200
"2962",3954,450
"2963",3955,150
"2964",3956,2080
"2965",3957,960
"2966",3959,364
"2967",3960,728
"2968",3961,1040
"2969",3963,60
"2970",3964,40
"2971",3965,20
"2972",3967,120
"2973",3968,20
"2974",3969,600
"2975",3972,50
"2976",3973,14
"2977",3974,3380
"2978",3975,1612
"2979",3976,1040
"2980",3977,5
"2981",3979,100
"2982",3980,2080
"2983",3982,15
"2984",3983,15
"2985",3984,500
"2986",3985,1000
"2987",3986,1500
"2988",3987,10
"2989",3988,208
"2990",3989,520
"2991",3990,150
"2992",3991,5
"2993",3992,100
"2994",3993,25
"2995",3994,60
"2996",3995,10
"2997",3997,364
"2998",3998,15
"2999",3999,5
"3000",4000,500
"3001",4001,500
"3002",4002,416
"3003",4003,240
"3004",4006,60
"3005",4009,36
"3006",4014,120
"3007",4015,120
"3008",4016,312
"3009",4020,1200
"3010",4021,520
"3011",4024,20
"3012",4025,30
"3013",4027,936
"3014",4030,1200
"3015",4031,200
"3016",4034,15
"3017",4035,30
"3018",4038,20
"3019",4039,10
"3020",4040,50
"3021",4041,50
"3022",4042,10
"3023",4043,40
"3024",4044,150
"3025",4045,100
"3026",4047,25
"3027",4048,20
"3028",4050,780
"3029",4052,1040
"3030",4054,384
"3031",4056,50
"3032",4057,36
"3033",4058,60
"3034",4059,208
"3035",4060,120
"3036",4061,65
"3037",4062,20
"3038",4063,25
"3039",4066,100
"3040",4067,12
"3041",4068,15
"3042",4069,1800
"3043",4071,25
"3044",4072,96
"3045",4073,1040
"3046",4074,260
"3047",4075,500
"3048",4077,20
"3049",4078,100
"3050",4080,50
"3051",4082,180
"3052",4083,500
"3053",4084,5
"3054",4085,120
"3055",4086,10
"3056",4087,50
"3057",4088,150
"3058",4089,409
"3059",4090,200
"3060",4091,250
"3061",4092,260
"3062",4093,240
"3063",4095,250
"3064",4096,100
"3065",4098,20
"3066",4099,120
"3067",4100,380
"3068",4101,50
"3069",4102,50
"3070",4103,264
"3071",4105,500
"3072",4106,170
"3073",4107,480
"3074",4108,1040
"3075",4109,350
"3076",4110,600
"3077",4111,520
"3078",4112,50
"3079",4113,60
"3080",4114,750
"3081",4115,20
"3082",4117,100
"3083",4118,1040
"3084",4120,1560
"3085",4121,800
"3086",4122,20
"3087",4123,260
"3088",4124,1400
"3089",4125,600
"3090",4126,150
"3091",4128,1040
"3092",4129,100
"3093",4131,700
"3094",4134,360
"3095",4135,5
"3096",4136,480
"3097",4137,1040
"3098",4138,510
"3099",4139,120
"3100",4141,70
"3101",4142,120
"3102",4143,2400
"3103",4144,72
"3104",4145,620
"3105",4147,30
"3106",4148,360
"3107",4149,30
"3108",4150,300
"3109",4151,20
"3110",4152,150
"3111",4153,50
"3112",4154,52
"3113",4155,5
"3114",4156,8
"3115",4157,50
"3116",4158,100
"3117",4162,10
"3118",4163,10
"3119",4164,156
"3120",4165,260
"3121",4166,350
"3122",4167,1200
"3123",4168,2400
"3124",4169,90
"3125",4170,720
"3126",4171,200
"3127",4176,1
"3128",4177,250
"3129",4178,400
"3130",4179,150
"3131",4180,100
"3132",4181,1800
"3133",4182,144
"3134",4183,1000
"3135",4184,5
"3136",4186,1820
"3137",4187,5
"3138",4188,600
"3139",4189,5
"3140",4190,20
"3141",4191,100
"3142",4192,30
"3143",4193,900
"3144",4194,1040
"3145",4196,30
"3146",4198,60
"3147",4199,110
"3148",4200,50
"3149",4201,1196
"3150",4203,120
"3151",4205,1040
"3152",4206,240
"3153",4209,180
"3154",4211,1000
"3155",4212,2
"3156",4213,5
"3157",4214,50
"3158",4215,20
"3159",4216,208
"3160",4217,1000
"3161",4219,3600
"3162",4220,20
"3163",4221,25
"3164",4222,60
"3165",4223,600
"3166",4227,52
"3167",4228,50
"3168",4229,4
"3169",4230,728
"3170",4231,16
"3171",4232,300
"3172",4233,50
"3173",4234,50
"3174",4235,10
"3175",4237,208
"3176",4238,2600
"3177",4240,260
"3178",4241,150
"3179",4243,1560
"3180",4244,60
"3181",4245,100
"3182",4249,10
"3183",4250,240
"3184",4252,5200
"3185",4253,35
"3186",4254,50
"3187",4257,300
"3188",4260,20
"3189",4261,90
"3190",4263,240
"3191",4264,8
"3192",4265,360
"3193",4266,780
"3194",4267,5200
"3195",4268,150
"3196",4269,480
"3197",4270,364
"3198",4271,8
"3199",4273,20
"3200",4275,50
"3201",4276,100
"3202",4277,100
"3203",4279,208
"3204",4280,72
"3205",4281,50
"3206",4282,35
"3207",4283,500
"3208",4284,3
"3209",4285,300
"3210",4286,260
"3211",4287,500
"3212",4288,5337.30568095586
"3213",4289,20
"3214",4290,480
"3215",4292,780
"3216",4293,200
"3217",4294,1560
"3218",4295,4
"3219",4298,40
"3220",4301,50
"3221",4302,20
"3222",4303,50
"3223",4304,48
"3224",4305,288
"3225",4306,20
"3226",4307,364
"3227",4310,20
"3228",4312,3
"3229",4313,50
"3230",4314,108
"3231",4315,480
"3232",4316,100
"3233",4317,50
"3234",4318,240
"3235",4321,624
"3236",4322,2
"3237",4323,50
"3238",4326,40
"3239",4327,100
"3240",4328,1
"3241",4329,6
"3242",4331,20
"3243",4332,20
"3244",4333,1820
"3245",4334,720
"3246",4337,50
"3247",4338,30
"3248",4341,1000
"3249",4344,30
