"","npar","chisq","SRMR","RMSEA","TLI","CFI"
"single.factor",28,408.533,0.158,0.045,0.918,0.93
"two.factor",29,367.91,0.14,0.044,0.921,0.934
"two.factor.re",30,130.892,0.094,0.022,0.98,0.983
"bifactor",57,77.18,0.101,0.021,0.983,0.991
"three.factor",31,364.483,0.137,0.045,0.92,0.935
