"","chisq","df","tli.scaled","rmsea.scaled","cfi.scaled","srmr"
"Bifactor",155.632755269774,48,0.968896942408603,0.0278623406032417,0.983593991600142,0.116857230158603
"Bifactor",126.648491423029,48,0.967417733487513,0.0285171881207797,0.982813749531875,0.105131163031035
"Bifactor",119.658356172671,48,0.952111519602341,0.0345725634850517,0.974740142207828,0.131854064087654
"Bifactor",84.1192755775437,48,0.982052335057899,0.0211650857001019,0.99053309981076,0.10182342660006
"Bifactor",113.308614130832,48,0.977694280784084,0.0235952275612106,0.988234345908088,0.115853668539017
"Bifactor",103.616437385941,48,0.983243689445345,0.0204505623664338,0.991161506520622,0.124907966411446
"Bifactor",97.2821263479424,48,0.983230337289028,0.0204587086922591,0.991154463624982,0.123339562800801
"Bifactor",127.289836722156,48,0.97311159487323,0.0259058935242602,0.985817104988078,0.110181823632988
"Bifactor",137.663092065888,48,0.966696292084648,0.0288311754638508,0.982433209011682,0.110617987135715
"Bifactor",104.3265062396,48,0.962357623953528,0.0306517002036369,0.980144680766696,0.0943476443794367
"Bifactor",97.8001254247753,48,0.985501120467498,0.0190231869264465,0.992352239367472,0.12038661482916
"Bifactor",83.8447474449439,48,0.97604535497242,0.0244518050464942,0.987364582842595,0.126257411375769
"Bifactor",126.802585460504,48,0.973272778101546,0.0258281300415279,0.985902124712903,0.118347115830333
"Bifactor",97.2746619080077,48,0.967070292888147,0.0286688312744481,0.982630484160781,0.104088525184457
"Bifactor",153.108361049146,48,0.960634050588334,0.0313455879059785,0.979235543167473,0.1054225087682
"Bifactor",132.584702371517,48,0.943472986573965,0.0375615992539733,0.970183553357696,0.115625584783412
"Bifactor",148.9116905458,48,0.976236947599406,0.024353824245673,0.987465642689796,0.108901683316117
"Bifactor",113.22079064153,48,0.975521341289117,0.0247178028144133,0.987088180020633,0.116684101540918
"Bifactor",142.727273967134,48,0.936694819072213,0.0397498671822314,0.966608256213915,0.110055419980431
"Bifactor",133.660065606827,48,0.942754333314736,0.0377996138705251,0.969804483506674,0.117802861446627
"Bifactor",95.819126467678,48,0.98171412442332,0.0213635752558911,0.990354702992521,0.122071729554715
"Bifactor",111.197197461963,48,0.957766017621845,0.0324673671292991,0.977722734569764,0.106071179401833
"Bifactor",77.7874129732412,48,0.983210924899786,0.0204705466628538,0.991144224122964,0.0988087178749029
"Bifactor",108.469314347771,48,0.976984018033872,0.0239679455277034,0.987859701820064,0.113340054409528
"Bifactor",102.197345664112,48,0.963780518224743,0.0300667973726047,0.98089521840426,0.0992129233813881
"Bifactor",98.731319963078,48,0.977825170728642,0.0235258973147997,0.988303386757965,0.111448501133503
"Bifactor",143.766226897912,48,0.936000498413506,0.0399672576865295,0.96624202114119,0.104823167592064
"Bifactor",102.428399892513,48,0.979339076231141,0.0227086293782552,0.989101930319723,0.111630259459973
"Bifactor",135.933641316549,48,0.941234928019625,0.0382979643828474,0.969003038955407,0.123867214007065
"Bifactor",122.541709464981,48,0.969676558536967,0.0275109317204787,0.984005217689829,0.101846513718869
"Bifactor",137.413095874478,48,0.967439640331095,0.0285075996745113,0.982825304790028,0.113336287365079
"Bifactor",146.223795629217,48,0.966095065156147,0.0290902538975544,0.982116078324121,0.128028969783299
"Bifactor",82.9829299288726,48,0.976621298008642,0.0241560684852401,0.987668376971591,0.11040629427327
"Bifactor",96.0269144297362,48,0.979247859422278,0.0227587028278667,0.989053815959004,0.110942119072373
"Bifactor",108.482271377179,48,0.977123455424289,0.0238952329031969,0.987933251212812,0.113227875355685
"Bifactor",136.844071575231,48,0.940626497629578,0.0384957148563797,0.968682108639777,0.125352624478806
"Bifactor",108.421410996024,48,0.959621044765391,0.0317463349132579,0.978701210425701,0.114879101571811
