"","chisq","df","tli.scaled","rmsea.scaled","cfi.scaled","srmr"
"three.factor",233.463413848362,74,0.978667287026259,0.0255223673956811,0.982652519120254,0.100301190985918
"three.factor",210.095420172016,74,0.981035880502201,0.0240638023968024,0.984578628100691,0.102341996629459
"three.factor",238.578553735767,74,0.977861384161046,0.0259999877374873,0.981997169537554,0.102052477522418
"three.factor",240.57842061237,74,0.977798338099393,0.0260369826309285,0.981945901311594,0.102032605405392
"three.factor",236.547978441692,74,0.977998487686928,0.0259193542830803,0.982108660316843,0.101467776684163
"three.factor",203.880431348508,74,0.981549288491177,0.0237358325898929,0.984996124707111,0.102656222447179
"three.factor",216.715545751394,74,0.980064990219678,0.0246721011886416,0.983789112925892,0.100441739945533
"three.factor",244.201939312079,74,0.977247326621075,0.0263581015736921,0.981497826043512,0.101651936900826
"three.factor",233.415243105921,74,0.978483484812025,0.0256320816736385,0.982503053583405,0.0995791392223653
"three.factor",229.993232110583,74,0.978565489492863,0.0255831899910031,0.982569738708482,0.0999130932787454
"three.factor",233.476144962513,74,0.978628464693036,0.0255455802769635,0.98262094931082,0.1037103208599
"three.factor",199.273555900344,74,0.981182636563875,0.0239705112824287,0.984697968194799,0.0943149189082262
"three.factor",224.648144043844,74,0.979188439003287,0.0252086877661785,0.98307631303564,0.101993035831095
"three.factor",242.509574924146,74,0.977406598626551,0.0262656842938417,0.981627343938074,0.103684067862608
"three.factor",228.780100743849,74,0.979215077440399,0.0251925492587164,0.983097975061424,0.100578873825469
"three.factor",225.279498559181,74,0.978991065864436,0.0253279430375606,0.982915811801849,0.0997389835987719
"three.factor",244.061034731863,74,0.977062074861321,0.0264651875805037,0.98134718175536,0.103031917897442
"three.factor",233.570932966279,74,0.978460542901311,0.0256457430926989,0.982484397524143,0.103168360388336
"three.factor",226.661423022863,74,0.979067656382758,0.0252817328986313,0.982978094201364,0.100755345363479
"three.factor",232.833806982881,74,0.978388280747997,0.0256887261838172,0.982425634893976,0.102560366344361
"three.factor",230.17160691109,74,0.978858040468469,0.0254080028596769,0.98280763730403,0.100337368375383
"three.factor",234.421880333037,74,0.978496511933758,0.0256243210580786,0.982513647067012,0.10461531580943
"three.factor",229.27143101462,74,0.978409240438608,0.025676266315264,0.982442679037989,0.0967226700094141
"three.factor",233.861808671931,74,0.978416483340412,0.0256719592348603,0.982448568870225,0.101409802915338
"three.factor",228.65866523002,74,0.978099042763741,0.0258600559172698,0.982190430379306,0.0978357600929215
"three.factor",236.225938150248,74,0.978062962332429,0.0258813485483549,0.982161090248349,0.102746751797462
"three.factor",195.476359842387,74,0.982472038285378,0.0231346865152846,0.985746492671626,0.100778093666764
"three.factor",233.118015654523,74,0.978719958339143,0.0254908400553321,0.982695350737325,0.0989062050383917
"three.factor",236.144861215462,74,0.97810985240763,0.0258536732625353,0.982199220639172,0.102225118312224
"three.factor",239.607450930729,74,0.977298845356982,0.0263282434200061,0.981539720400183,0.102043534822105
"three.factor",242.324211725681,74,0.976959434459396,0.0265243334161824,0.981263715934014,0.103002204007292
"three.factor",240.438260387769,74,0.977954071729303,0.0259455036789196,0.982072541845807,0.10269406550379
"three.factor",241.579574793513,74,0.977640390277965,0.0261294350858261,0.981817460226038,0.102928897180769
"three.factor",235.639994127022,74,0.978072014390912,0.0258760081815884,0.982168451262939,0.103661469851522
"three.factor",239.972109447166,74,0.977933896042323,0.0259573731870658,0.982056135243208,0.102828332168234
"three.factor",240.119220706331,74,0.977411541507839,0.0262628109933843,0.981631363423957,0.104136642437104
"three.factor",235.580337515203,74,0.978463473932641,0.0256439981314984,0.982486781000169,0.103343841572538
"three.factor",239.694511470485,74,0.977275423261687,0.0263418221048002,0.981520673861152,0.103060449315782
"three.factor",231.639373403399,74,0.977468697025025,0.0262295635877738,0.981677841536833,0.0978331340080085
"three.factor",241.342647598588,74,0.976817997050725,0.0266056203374552,0.981148700898392,0.101787618400905
"three.factor",219.088018201727,74,0.980305493341315,0.024522823038794,0.983984686892937,0.101133729725854
"three.factor",223.891755904586,74,0.979621987985812,0.0249447306017491,0.9834288693511,0.102392472726398
"three.factor",228.808151836679,74,0.978979741733251,0.0253347681889102,0.982906603167699,0.102067314582555
"three.factor",236.064835851606,74,0.978394234110007,0.0256851877142863,0.982430476089456,0.102012397005696
"three.factor",236.329573064015,74,0.978067462702014,0.0258786936409345,0.98216474988955,0.103327375785984
"three.factor",242.185858048849,74,0.977537730433965,0.0261893505277786,0.981733978594653,0.102594154988841
"three.factor",236.172377594116,74,0.97840534094856,0.0256785848956787,0.982439508024104,0.101610692857188
"three.factor",242.591473133805,74,0.977616337324517,0.0261434854463341,0.981797900681476,0.103403201951865
